treatment,species,p,log2FC,q,-log10p
Ctr,PE(12:0CHO_32:0),0.31878735036980865,-2.2921240675150627,0.6402312619926991,0.4964989198046366
Ctr,PE(13:1_8:0CHO),0.06749226006191951,-0.7282827525204394,0.5115826740052746,1.170746028083025
Ctr,PE(14:0_16:1),0.11462848297213622,-1.1167787365485933,0.5115826740052746,0.9407074547589854
Ctr,PE(14:0_20:5),0.09559224691474008,-1.2398743545009827,0.5115826740052746,1.0195773296408037
Ctr,PE(16:0COOH_18:0),0.08111455108359134,-0.7268692666655676,0.5115826740052746,1.0909012304759487
Ctr,PE(16:0_16:1),0.06749226006191951,-0.6703644200515271,0.5115826740052746,1.170746028083025
Ctr,PE(16:0_17:1),0.27492260061919505,-0.2846793761582595,0.619218193918,0.5607895563945322
Ctr,PE(16:0_18:0),0.938467492260062,-0.007716475182044648,0.962428364402872,0.02758076633848699
Ctr,PE(16:0_18:1),0.09680082559339526,-0.39431379922127824,0.5115826740052746,1.0141209382230534
Ctr,PE(16:0_19:0COOH),0.4854231166150671,-0.1637186327413283,0.7005207850552765,0.31387954563337733
Ctr,PE(16:0_20:4),0.4854231166150671,0.44307729442537197,0.7005207850552765,0.31387954563337733
Ctr,PE(16:0_20:5),0.7573013415892673,-0.32767252177365613,0.8859690452573468,0.1207312737475131
Ctr,PE(16:0_22:6),0.09680082559339526,-0.9491343091980832,0.5115826740052746,1.0141209382230534
Ctr,PE(16:1_16:1),0.21060371517027865,-1.0694682019808925,0.5702864646745748,0.6765339716730935
Ctr,PE(16:1_18:1),0.6426470588235295,-0.46354581425421176,0.8108792731752388,0.19202747566823541
Ctr,PE(16:1_18:2),0.06749226006191951,-0.6633363522312921,0.5115826740052746,1.170746028083025
Ctr,PE(16:1_19:3COOH),0.5880288957688339,-0.4478953654191027,0.7660268317853457,0.23060133207345127
Ctr,PE(16:1_22:6),0.5880288957688339,-0.5483843358659612,0.7660268317853457,0.23060133207345127
Ctr,PE(17:0CHO_20:3),0.6991744066047472,-0.1589310241795603,0.8300543447869165,0.15541447744220666
Ctr,PE(17:0_18:1),0.938467492260062,0.347492180253037,0.962428364402872,0.02758076633848699
Ctr,PE(17:0_20:4),0.437796697626419,0.41151203873030007,0.6763397700510703,0.3587275186123147
Ctr,PE(17:1COOH_18:1),0.938467492260062,-0.029852194047733347,0.962428364402872,0.02758076633848699
Ctr,PE(17:1_18:1),0.08111455108359134,-1.6722799985779904,0.5115826740052746,1.0909012304759487
Ctr,PE(17:2COOH_4:0),0.4854231166150671,0.16284826523835877,0.7005207850552765,0.31387954563337733
Ctr,PE(18:0_18:0),0.18268833849329205,-0.38290884932578595,0.5573150579352327,0.7382891737543027
Ctr,PE(18:0_18:0COOH),0.21060371517027865,-0.361048509218961,0.5702864646745748,0.6765339716730935
Ctr,PE(18:0_18:1),0.18268833849329205,0.3857083482887548,0.5573150579352327,0.7382891737543027
Ctr,PE(18:0_18:2),0.5355521155830754,-0.3092642113982534,0.7375317706029781,0.27119826068219915
Ctr,PE(18:0_19:0COOH),0.7573013415892673,-0.10886843701717049,0.8859690452573468,0.1207312737475131
Ctr,PE(18:0_20:0),0.21060371517027865,-0.346986751857479,0.5702864646745748,0.6765339716730935
Ctr,PE(18:0_20:0COOH),0.31137770897832817,-0.06403801836169112,0.630605276166194,0.5067124809483288
Ctr,PE(18:0_20:1),0.4854231166150671,-0.42709882377649727,0.7005207850552765,0.31387954563337733
Ctr,PE(18:0_20:2),0.31137770897832817,0.13554044690475417,0.630605276166194,0.5067124809483288
Ctr,PE(18:0_20:3),0.5355521155830754,-0.5671825437233616,0.7375317706029781,0.27119826068219915
Ctr,PE(18:0_20:4),0.6426470588235295,0.12400561619303747,0.8108792731752388,0.19202747566823541
Ctr,PE(18:0_21:2COOH),0.27492260061919505,0.2708176030947966,0.619218193918,0.5607895563945322
Ctr,PE(18:0_21:6CHO),0.5355521155830754,-0.23088535034798086,0.7375317706029781,0.27119826068219915
Ctr,PE(18:0_22:3),0.3928792569659443,0.27617137057997726,0.6715170278637771,0.4057409001258566
Ctr,PE(18:0_22:4),0.6991744066047472,-0.3786747499391445,0.8300543447869165,0.15541447744220666
Ctr,PE(18:0_22:4COOH),0.4854231166150671,0.36321344646307074,0.7005207850552765,0.31387954563337733
Ctr,PE(18:0_22:5),0.3928792569659443,-0.839505137166074,0.6715170278637771,0.4057409001258566
Ctr,PE(18:0_22:6),0.05567595459236326,-0.9045530870351512,0.5115826740052746,1.2543323272517963
Ctr,PE(18:0_24:5),0.3506965944272446,0.5967855140654013,0.6402869640679238,0.4550684513560418
Ctr,PE(18:1_18:0),0.3506965944272446,-0.21288716078359113,0.6402869640679238,0.4550684513560418
Ctr,PE(18:1_18:1),0.5355521155830754,-0.2525609521381563,0.7375317706029781,0.27119826068219915
Ctr,PE(18:1_18:2),0.11462848297213622,-0.44621149421273687,0.5115826740052746,0.9407074547589854
Ctr,PE(18:1_19:1),0.437796697626419,0.3990808309613923,0.6763397700510703,0.3587275186123147
Ctr,PE(18:1_20:4),0.045562435500515995,0.6903467509462449,0.5115826740052746,1.3413930681839925
Ctr,PE(18:1_21:3COOH),0.938467492260062,0.19159290849204696,0.962428364402872,0.02758076633848699
Ctr,PE(18:1_22:1),0.24135706914344687,0.18311981299982488,0.5996603470471206,0.6173399763627604
Ctr,PE(18:1_22:6),0.816795665634675,-0.1124036557424499,0.9241678658120032,0.08788657546633227
Ctr,PE(18:1_24:1),0.3928792569659443,0.15344660342442867,0.6715170278637771,0.4057409001258566
Ctr,PE(18:1_24:2),0.938467492260062,-0.07304303389409444,0.962428364402872,0.02758076633848699
Ctr,PE(18:1_24:5),0.3506965944272446,0.7979631308540268,0.6402869640679238,0.4550684513560418
Ctr,PE(18:1_26:1),0.6991744066047472,-0.6777703755602826,0.8300543447869165,0.15541447744220666
Ctr,PE(18:2_19:1COOH),0.816795665634675,-0.08892859240572223,0.9241678658120032,0.08788657546633227
Ctr,PE(18:2_19:2COOH),0.3506965944272446,-0.15705582983158872,0.6402869640679238,0.4550684513560418
Ctr,PE(18:2_21:3COOH),0.6426470588235295,0.16423114381522186,0.8108792731752388,0.19202747566823541
Ctr,PE(18:2_22:6),0.4854231166150671,-0.42611024948982706,0.7005207850552765,0.31387954563337733
Ctr,PE(19:0COOH_20:0),0.5355521155830754,-0.20769882555920569,0.7375317706029781,0.27119826068219915
Ctr,PE(19:0_18:1),0.6426470588235295,-0.268014377201325,0.8108792731752388,0.19202747566823541
Ctr,PE(19:1CHO),0.21060371517027865,-1.1671931451124025,0.5702864646745748,0.6765339716730935
Ctr,PE(19:1COOH_22:1),0.13480392156862744,0.2238771581975836,0.5506397474243935,0.8702974732734685
Ctr,PE(19:1_16:0),0.18268833849329205,-0.6847035419806949,0.5573150579352327,0.7382891737543027
Ctr,PE(19:1_18:1),0.877296181630547,0.10651232434253098,0.962428364402872,0.05685376082377204
Ctr,PE(19:2),0.011145510835913313,-1.8598521810110136,0.5115826740052746,1.952900017667229
Ctr,PE(19:2CHO_18:2),0.3506965944272446,0.1940097157773894,0.6402869640679238,0.4550684513560418
Ctr,PE(19:2CHO_20:3),0.31137770897832817,1.3649752979513068,0.630605276166194,0.5067124809483288
Ctr,PE(19:2CHO_20:5),0.21060371517027865,0.019747021234248072,0.5702864646745748,0.6765339716730935
Ctr,PE(19:2COOH_20:4),0.21060371517027865,0.7934097237235999,0.5702864646745748,0.6765339716730935
Ctr,PE(19:2COOH_20:5),0.31137770897832817,0.05442975519067201,0.630605276166194,0.5067124809483288
Ctr,PE(19:2COOH_22:6),0.938467492260062,-0.026984081489691322,0.962428364402872,0.02758076633848699
Ctr,PE(20:0COOH_20:1),0.15743034055727553,0.6469266389334178,0.5573150579352327,0.802911564796475
Ctr,PE(20:0COOH_24:0),0.3928792569659443,-0.49813372843524056,0.6715170278637771,0.4057409001258566
Ctr,PE(20:0COOH_28:1),0.816795665634675,-0.009373871289674006,0.9241678658120032,0.08788657546633227
Ctr,PE(20:0_20:0COOH),0.11462848297213622,-0.49960739464395176,0.5115826740052746,0.9407074547589854
Ctr,PE(20:0_22:2COOH),0.24135706914344687,0.24132075052431143,0.5996603470471206,0.6173399763627604
Ctr,PE(20:1_20:0COOH),0.5355521155830754,0.39267816776772535,0.7375317706029781,0.27119826068219915
Ctr,PE(20:4_14:0),0.06749226006191951,-0.6511905113411457,0.5115826740052746,1.170746028083025
Ctr,PE(20:4_19:0),0.31137770897832817,0.8812777680220154,0.630605276166194,0.5067124809483288
Ctr,PE(20:5_16:1),0.18268833849329205,-0.8115949152154972,0.5573150579352327,0.7382891737543027
Ctr,PE(21:0COOH_18:1),1.0,0.14737225707687113,1.0,-4.342945178152237e-11
Ctr,PE(21:0COOH_18:3),0.09680082559339526,-0.5178137025985053,0.5115826740052746,1.0141209382230534
Ctr,PE(21:1),0.4274148404030482,-0.5938142006997252,0.6763397700510703,0.3691504025353362
Ctr,PE(21:1CHO_18:1),0.6426470588235295,-0.24405317458837827,0.8108792731752388,0.19202747566823541
Ctr,PE(21:2),0.018601651186790504,-1.2961163260737683,0.5115826740052746,1.7304485013245894
Ctr,PE(21:2CHO),0.15743034055727553,-0.3164284501154656,0.5573150579352327,0.802911564796475
Ctr,PE(21:2CHO_16:0),0.18268833849329205,-0.6103483256841046,0.5573150579352327,0.7382891737543027
Ctr,PE(21:2CHO_18:1),0.13480392156862744,-0.8281786297370658,0.5506397474243935,0.8702974732734685
Ctr,PE(21:2CHO_20:1),0.18268833849329205,-0.5833715241827028,0.5573150579352327,0.7382891737543027
Ctr,PE(21:2CHO_20:3),0.11462848297213622,-0.30748209905634266,0.5115826740052746,0.9407074547589854
Ctr,PE(21:2CHO_22:1),0.09680082559339526,-0.9831278580181345,0.5115826740052746,1.0141209382230534
Ctr,PE(21:2CHO_22:4),0.6991744066047472,-0.270830242306597,0.8300543447869165,0.15541447744220666
Ctr,PE(21:2CHO_22:5),0.09680082559339526,-0.7993673945857782,0.5115826740052746,1.0141209382230534
Ctr,PE(21:2CHO_22:6),0.045562435500515995,-0.7854087783239867,0.5115826740052746,1.3413930681839925
Ctr,PE(21:2COOH_18:1),0.877296181630547,-0.12387243953041673,0.962428364402872,0.05685376082377204
Ctr,PE(21:2COOH_20:3),0.27492260061919505,0.16091134487677006,0.619218193918,0.5607895563945322
Ctr,PE(21:2COOH_20:4),0.5880288957688339,0.40440850310030646,0.7660268317853457,0.23060133207345127
Ctr,PE(21:2COOH_22:5),0.6991744066047472,-0.4123905255158636,0.8300543447869165,0.15541447744220666
Ctr,PE(21:2COOH_22:6),0.6991744066047472,-0.3800795687371845,0.8300543447869165,0.15541447744220666
Ctr,PE(21:3CHO_18:1),0.3506965944272446,0.7069863829782169,0.6402869640679238,0.4550684513560418
Ctr,PE(21:3CHO_20:3),0.31137770897832817,-0.38515860635074717,0.630605276166194,0.5067124809483288
Ctr,PE(21:3CHO_20:4),0.437796697626419,0.10622519485940835,0.6763397700510703,0.3587275186123147
Ctr,PE(21:3CHO_20:5),0.4854231166150671,-0.17108085972638096,0.7005207850552765,0.31387954563337733
Ctr,PE(21:3COOH_20:4),0.27492260061919505,0.6112286064784299,0.619218193918,0.5607895563945322
Ctr,PE(21:3COOH_22:6),0.938467492260062,-0.8951919057682196,0.962428364402872,0.02758076633848699
Ctr,PE(21:4),0.45463225696633414,-0.07720174200885045,0.6978749931776211,0.34233975345725576
Ctr,PE(22:0COOH_16:0),0.5355521155830754,-0.34290032680643956,0.7375317706029781,0.27119826068219915
Ctr,PE(22:0COOH_18:1),0.4854231166150671,0.4335836537392641,0.7005207850552765,0.31387954563337733
Ctr,PE(22:0_18:1),0.11462848297213622,-0.5716709673922601,0.5115826740052746,0.9407074547589854
Ctr,PE(22:0_20:4),0.938467492260062,-0.21860423808417312,0.962428364402872,0.02758076633848699
Ctr,PE(22:3_19:1COOH),0.21060371517027865,0.42597325020222454,0.5702864646745748,0.6765339716730935
Ctr,PE(22:6_16:0),0.6991744066047472,-0.1304947737967352,0.8300543447869165,0.15541447744220666
Ctr,PE(23:0_16:1),0.816795665634675,-0.21454572076259731,0.9241678658120032,0.08788657546633227
Ctr,PE(23:2),0.0017027863777089782,-0.9891783585636215,0.41037151702786373,2.768839807331929
Ctr,PE(23:4_18:1),0.5880288957688339,-0.04445691291635909,0.7660268317853457,0.23060133207345127
Ctr,PE(23:5_16:1),0.23440410031101155,-1.0532856966804565,0.5996603470471206,0.630034795511028
Ctr,PE(23:6),0.4047519961235295,-4.360157198767351,0.6763397700510703,0.3928110006432097
Ctr,PE(24:0_17:1),0.3506965944272446,-0.4156736379619747,0.6402869640679238,0.4550684513560418
Ctr,PE(24:0_18:1),0.13480392156862744,-0.8629950432359336,0.5506397474243935,0.8702974732734685
Ctr,PE(24:0_20:4),0.938467492260062,0.102994134736637,0.962428364402872,0.02758076633848699
Ctr,PE(24:1_20:4),0.31137770897832817,0.835778449550402,0.630605276166194,0.5067124809483288
Ctr,PE(24:2_19:1COOH),0.437796697626419,-0.2444156840551932,0.6763397700510703,0.3587275186123147
Ctr,PE(24:3_19:1COOH),0.6991744066047472,0.15903466860681914,0.8300543447869165,0.15541447744220666
Ctr,PE(26:0_18:1),0.31137770897832817,-0.25072009680617213,0.630605276166194,0.5067124809483288
Ctr,PE(26:2_19:1COOH),0.3928792569659443,-0.42170206824915885,0.6715170278637771,0.4057409001258566
Ctr,PE(26:3_19:1COOH),1.0,0.23410596297031688,1.0,-4.342945178152237e-11
Ctr,PE(28:2_19:1COOH),0.13480392156862744,-1.1435946358349116,0.5506397474243935,0.8702974732734685
Ctr,PE(34:0CHO),0.08111455108359134,-0.9769729107206456,0.5115826740052746,1.0909012304759487
Ctr,PE(38:5),0.938467492260062,0.0381289462453661,0.962428364402872,0.02758076633848699
Ctr,PE(40:1),0.437796697626419,-0.4969351557013865,0.6763397700510703,0.3587275186123147
Ctr,PE(43:1),0.3506965944272446,-0.6306480633411529,0.6402869640679238,0.4550684513560418
Ctr,PE(O-12:1_20:4),0.3832085859605817,-0.7225519053357254,0.6715170278637771,0.41656476880811344
Ctr,PE(O-12:1_20:5),0.11245686376050769,1.1470833886349943,0.5115826740052746,0.9490140320400902
Ctr,PE(O-12:1_22:6),0.029695562435500512,-1.6915232353169163,0.5115826740052746,1.5273084432864465
Ctr,PE(O-13:1_20:5),0.09038411844935958,2.437766250310407,0.5115826740052746,1.0439078729792857
Ctr,PE(O-13:1_5:0),0.15743034055727553,-0.46423254431704153,0.5573150579352327,0.802911564796475
Ctr,PE(O-14:1_20:4),0.437796697626419,-0.32540535634435125,0.6763397700510703,0.3587275186123147
Ctr,PE(O-14:1_20:5),0.09680082559339526,-0.13223680113987177,0.5115826740052746,1.0141209382230534
Ctr,PE(O-15:1_5:0),0.5785279442360626,-0.4954420427105154,0.7660268317853457,0.23767565870385388
Ctr,PE(O-16:0),0.021362979491982813,-2.2478741857098803,0.5115826740052746,1.6703381743911025
Ctr,PE(O-16:0_16:0),0.27492260061919505,-0.7879397650408699,0.619218193918,0.5607895563945322
Ctr,PE(O-16:0_18:1),0.09680082559339526,-1.0676755494981909,0.5115826740052746,1.0141209382230534
Ctr,PE(O-16:0_22:6),0.437796697626419,-0.24769406924245355,0.6763397700510703,0.3587275186123147
Ctr,PE(O-16:0_2:0),0.018601651186790504,-1.0267029498302676,0.5115826740052746,1.7304485013245894
Ctr,PE(O-16:1_16:0),0.18268833849329205,-0.549427232143081,0.5573150579352327,0.7382891737543027
Ctr,PE(O-16:1_16:1),0.06749226006191951,-1.1414651379668734,0.5115826740052746,1.170746028083025
Ctr,PE(O-16:1_17:1),0.045562435500515995,-0.6451089396108356,0.5115826740052746,1.3413930681839925
Ctr,PE(O-16:1_18:1),0.18268833849329205,-0.6389541369649634,0.5573150579352327,0.7382891737543027
Ctr,PE(O-16:1_18:2),0.15743034055727553,-0.47937249508050195,0.5573150579352327,0.802911564796475
Ctr,PE(O-16:1_18:3),0.27492260061919505,-0.19566005795990743,0.619218193918,0.5607895563945322
Ctr,PE(O-16:1_20:3),0.21060371517027865,0.37642158199375547,0.5702864646745748,0.6765339716730935
Ctr,PE(O-16:1_20:4),0.31137770897832817,-0.3656408637720436,0.630605276166194,0.5067124809483288
Ctr,PE(O-16:1_20:5),0.15743034055727553,-0.2781131643536179,0.5573150579352327,0.802911564796475
Ctr,PE(O-16:1_22:4),0.5880288957688339,-0.22951879136448947,0.7660268317853457,0.23060133207345127
Ctr,PE(O-16:1_22:6),0.11462848297213622,-0.5341985671586442,0.5115826740052746,0.9407074547589854
Ctr,PE(O-16:1_24:5),0.3928792569659443,-0.10661731372753025,0.6715170278637771,0.4057409001258566
Ctr,PE(O-17:1_18:1),0.18268833849329205,-0.5028239574065344,0.5573150579352327,0.7382891737543027
Ctr,PE(O-17:1_20:4),0.4854231166150671,0.04981906027995171,0.7005207850552765,0.31387954563337733
Ctr,PE(O-17:1_20:5),0.11462848297213622,-0.49108395940817445,0.5115826740052746,0.9407074547589854
Ctr,PE(O-17:1_22:4),0.6426470588235295,0.6794432220527794,0.8108792731752388,0.19202747566823541
Ctr,PE(O-17:1_22:5),0.18268833849329205,-0.5761890073436031,0.5573150579352327,0.7382891737543027
Ctr,PE(O-17:1_22:6),0.24135706914344687,-0.5805412251639629,0.5996603470471206,0.6173399763627604
Ctr,PE(O-18:0_16:0),0.0369453044375645,-0.8479953238943835,0.5115826740052746,1.4324407492313844
Ctr,PE(O-18:0_18:0),0.18268833849329205,-0.5937294041868417,0.5573150579352327,0.7382891737543027
Ctr,PE(O-18:0_18:1),0.437796697626419,0.2296946092696961,0.6763397700510703,0.3587275186123147
Ctr,PE(O-18:0_20:0),0.18268833849329205,-1.7699848099182018,0.5573150579352327,0.7382891737543027
Ctr,PE(O-18:0_22:0),0.07077812170767687,-2.9060727004231266,0.5115826740052746,1.1501009661317405
Ctr,PE(O-18:0_22:1),0.24135706914344687,-1.2412428426686193,0.5996603470471206,0.6173399763627604
Ctr,PE(O-18:1_18:1),0.877296181630547,0.8274051230203952,0.962428364402872,0.05685376082377204
Ctr,PE(O-18:1_19:3),0.18268833849329205,0.12029588410991751,0.5573150579352327,0.7382891737543027
Ctr,PE(O-18:1_20:0),0.11462848297213622,-0.9656416974892074,0.5115826740052746,0.9407074547589854
Ctr,PE(O-18:1_20:3),0.31137770897832817,0.44555851930461543,0.630605276166194,0.5067124809483288
Ctr,PE(O-18:1_20:4),0.11462848297213622,-0.6718465308185312,0.5115826740052746,0.9407074547589854
Ctr,PE(O-18:1_22:1),0.3506965944272446,-0.6609356524859538,0.6402869640679238,0.4550684513560418
Ctr,PE(O-18:1_22:2),0.938467492260062,-0.0010805788224397522,0.962428364402872,0.02758076633848699
Ctr,PE(O-18:1_22:3),0.7573013415892673,-0.14486302802627476,0.8859690452573468,0.1207312737475131
Ctr,PE(O-18:1_22:4),1.0,-0.01622055811065529,1.0,-4.342945178152237e-11
Ctr,PE(O-18:1_22:6),0.029695562435500512,-1.2539132680855947,0.5115826740052746,1.5273084432864465
Ctr,PE(O-18:1_24:4),0.8031765040690568,-0.9045958477954072,0.9241678658120032,0.09518900470475625
Ctr,PE(O-18:1_24:5),0.6856033649177964,-0.1855946069567975,0.8300543447869165,0.16392705951386335
Ctr,PE(O-18:1_24:6),0.877296181630547,-0.16655842078177147,0.962428364402872,0.05685376082377204
Ctr,PE(O-18:2_18:1),0.437796697626419,0.19806231097660865,0.6763397700510703,0.3587275186123147
Ctr,PE(O-18:2_20:1),0.4854231166150671,0.13799581790986346,0.7005207850552765,0.31387954563337733
Ctr,PE(O-18:2_22:6),0.06749226006191951,-0.7862132031319273,0.5115826740052746,1.170746028083025
Ctr,PE(O-18:4_20:5),0.8350016731124059,4.276755549749776,0.9403523514957469,0.07831265425749147
Ctr,PE(O-19:0_18:0),1.0,-1.130315650161613,1.0,-4.342945178152237e-11
